112   2018-06-02   00:22:09.4095644   纬度=27.36327   经度=102.5728   强度=-24.15625   陡度=-6.184   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:普格县
113   2018-06-02   00:22:10.9100625   纬度=48.4261   经度=129.452   强度=18.27108   陡度=6.496383   误差=0   定位方式:2   省:黑龙江省   市:伊春市   县:伊春市市辖区
114   2018-06-02   00:22:14.8134105   纬度=48.21384   经度=129.5193   强度=27.67822   陡度=9.323192   误差=0   定位方式:5   省:黑龙江省   市:伊春市   县:伊春市市辖区
115   2018-06-02   00:22:23.8143321   纬度=28.66735   经度=101.8454   强度=-14.84624   陡度=-2.87927   误差=0   定位方式:2   省:四川省   市:甘孜藏族自治州   县:九龙县
116   2018-06-02   00:22:39.6450243   纬度=50.7959   经度=129.9111   强度=-55.015   陡度=-35.2096   误差=0   定位方式:2   省:   市:   县:
117   2018-06-02   00:22:39.9618818   纬度=21.73226   经度=113.6393   强度=-65.47752   陡度=-16.76224   误差=278.1618   定位方式:6   省:   市:   县:
118   2018-06-02   00:22:40.5627592   纬度=21.71415   经度=113.6366   强度=-48.69001   陡度=-15.98031   误差=75.93599   定位方式:6   省:   市:   县:
119   2018-06-02   00:22:47.215424   纬度=48.37347   经度=129.47   强度=22.49878   陡度=6.399652   误差=0   定位方式:5   省:黑龙江省   市:伊春市   县:伊春市市辖区
120   2018-06-02   00:22:59.1383888   纬度=48.92315   经度=127.9285   强度=45.02732   陡度=14.05731   误差=0   定位方式:2   省:黑龙江省   市:黑河市   县:逊克县
121   2018-06-02   00:23:00.9459696   纬度=22.69001   经度=113.0633   强度=-24.00078   陡度=-10.24033   误差=0   定位方式:5   省:广东省   市:江门市   县:新会市
122   2018-06-02   00:23:03.371130   纬度=28.65794   经度=103.8762   强度=-93.28515   陡度=-14.21488   误差=0   定位方式:2   省:四川省   市:宜宾地区   县:屏山县
123   2018-06-02   00:23:14.4737932   纬度=26.13713   经度=104.2642   强度=-80.0673   陡度=-16.01346   误差=0   定位方式:6   省:云南省   市:曲靖地区   县:宣威市
124   2018-06-02   00:23:29.2090503   纬度=25.65934   经度=104.5301   强度=-28.40106   陡度=-12.53564   误差=0   定位方式:2   省:贵州省   市:六盘水市   县:盘县特区
125   2018-06-02   00:23:31.5396466   纬度=21.81232   经度=113.6557   强度=-51.8549   陡度=-8.094422   误差=75.91193   定位方式:6   省:   市:   县:
126   2018-06-02   00:23:31.5959376   纬度=22.63718   经度=113.0462   强度=-39.68478   陡度=-12.69913   误差=75.70617   定位方式:6   省:广东省   市:江门市   县:江门市市辖区
127   2018-06-02   00:23:31.6993622   纬度=21.82869   经度=113.6039   强度=-52.83321   陡度=-15.36966   误差=0.0949949   定位方式:6   省:   市:   县:
128   2018-06-02   00:23:51.4018474   纬度=21.73098   经度=113.6118   强度=-48.0967   陡度=-15.39094   误差=75.93195   定位方式:6   省:   市:   县:
129   2018-06-02   00:23:51.5348697   纬度=21.73067   经度=113.6095   强度=-55.04217   陡度=-17.61349   误差=0   定位方式:6   省:   市:   县:
130   2018-06-02   00:23:55.4446874   纬度=48.35694   经度=129.4897   强度=40.4754   陡度=10.15853   误差=66.79472   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
131   2018-06-02   00:24:05.8938800   纬度=22.81123   经度=112.8788   强度=-14.26629   陡度=-6.521734   误差=0   定位方式:2   省:广东省   市:江门市   县:鹤山市
132   2018-06-02   00:24:11.23122   纬度=48.29583   经度=129.6026   强度=24.91613   陡度=7.593487   误差=0   定位方式:5   省:黑龙江省   市:伊春市   县:伊春市市辖区
133   2018-06-02   00:24:15.8815785   纬度=27.38878   经度=102.0254   强度=-27.91366   陡度=-5.104212   误差=49.39625   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
134   2018-06-02   00:24:15.9784251   纬度=27.35455   经度=102.5776   强度=-21.96772   陡度=-5.407439   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:普格县
135   2018-06-02   00:24:16.1611633   纬度=21.72226   经度=113.6185   强度=-64.68701   陡度=-12.9374   误差=75.93398   定位方式:6   省:   市:   县:
136   2018-06-02   00:24:16.1928347   纬度=27.3877   经度=102.0213   强度=-35.35381   陡度=-6.464696   误差=74.39757   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
137   2018-06-02   00:24:17.8685685   纬度=22.70197   经度=113.0508   强度=-30.13874   陡度=-10.152   误差=75.68983   定位方式:6   省:广东省   市:江门市   县:新会市
138   2018-06-02   00:24:27.219823   纬度=27.33568   经度=101.5715   强度=-98.15262   陡度=-6.979742   误差=49.42   定位方式:6   省:四川省   市:凉山彝族自治州   县:盐源县
139   2018-06-02   00:24:27.561721   纬度=26.53042   经度=102.2477   强度=-32.97089   陡度=-6.394354   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:会理县
140   2018-06-02   00:24:33.4034454   纬度=14.27794   经度=110.1158   强度=-202.5634   陡度=-55.16619   误差=0   定位方式:5   省:   市:   县:
141   2018-06-02   00:24:36.7481143   纬度=22.70164   经度=113.056   强度=-32.32852   陡度=-10.88961   误差=51.3224   定位方式:6   省:广东省   市:江门市   县:新会市
142   2018-06-02   00:24:40.5575628   纬度=44.29457   经度=139.0695   强度=129.7361   陡度=29.13372   误差=0   定位方式:2   省:   市:   县:
143   2018-06-02   00:24:49.4189305   纬度=21.73201   经度=113.6247   强度=-101.7607   陡度=-19.15496   误差=75.93172   定位方式:6   省:   市:   县:
144   2018-06-02   00:24:49.5484269   纬度=21.72968   经度=113.687   强度=-51.22724   陡度=-15.24904   误差=0   定位方式:5   省:   市:   县:
145   2018-06-02   00:24:49.6498313   纬度=21.74769   经度=113.612   强度=-36.78123   陡度=-10.7   误差=0   定位方式:5   省:   市:   县:
146   2018-06-02   00:24:55.431545   纬度=28.49537   经度=103.7037   强度=-69.71534   陡度=-14.87261   误差=0   定位方式:2   省:四川省   市:宜宾地区   县:屏山县
147   2018-06-02   00:24:55.966116   纬度=28.66853   经度=103.7443   强度=-65.16384   陡度=-14.38099   误差=0   定位方式:2   省:四川省   市:宜宾地区   县:屏山县
148   2018-06-02   00:24:55.1415626   纬度=28.61144   经度=103.7296   强度=-76.71175   陡度=-15.34235   误差=0   定位方式:2   省:四川省   市:宜宾地区   县:屏山县
149   2018-06-02   00:24:59.6290059   纬度=21.56004   经度=119.0391   强度=-37.23861   陡度=-22.69782   误差=0   定位方式:5   省:   市:   县:
150   2018-06-02   00:25:29.5400669   纬度=23.92422   经度=114.2702   强度=-22.05974   陡度=-6.41738   误差=0   定位方式:2   省:广东省   市:惠州市   县:龙门县
151   2018-06-02   00:25:29.7257907   纬度=22.68221   经度=113.0898   强度=-19.08333   陡度=-12.21333   误差=0   定位方式:5   省:广东省   市:江门市   县:新会市
152   2018-06-02   00:25:55.181525   纬度=48.31976   经度=129.4788   强度=33.99541   陡度=8.05817   误差=66.80965   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
153   2018-06-02   00:26:04.5973595   纬度=20.90605   经度=98.33116   强度=-56.38571   陡度=-7.364665   误差=76.13028   定位方式:6   省:   市:   县:
154   2018-06-02   00:26:08.6545033   纬度=48.35882   经度=129.552   强度=36.41394   陡度=8.03618   误差=66.79398   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
155   2018-06-02   00:26:09.480447   纬度=27.43675   经度=102.0798   强度=-27.62902   陡度=-5.894191   误差=74.38301   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
156   2018-06-02   00:26:09.9642195   纬度=21.15954   经度=118.5775   强度=-45.07788   陡度=-23.07988   误差=0   定位方式:5   省:   市:   县:
157   2018-06-02   00:26:17.8997582   纬度=21.74059   经度=113.6131   强度=-53.75363   陡度=-8.821109   误差=0   定位方式:6   省:   市:   县:
158   2018-06-02   00:26:47.3494652   纬度=22.69346   经度=113.0547   强度=-23.11271   陡度=-7.396068   误差=0   定位方式:5   省:广东省   市:江门市   县:新会市
